ASV,Taxon,Confidence,LowestTaxonomy,Kingdom,Phylum,Class,Order,Family,Genus,HexColor,ColorOrder
004d919d8ff500a00bfe768062d3e30a,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__A2,0.99858377199001,g__A2,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,A2,#BEA89A,76
007a974b0637bc17763c30e89fbe0fec,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae,0.99996623711613,f__Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,76
00a583fe681a4d78d25ef121e81b84a4,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus,0.999995518717992,g__Streptococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,#8CA530,10
00a5c431e0a197d80a5518bd920f3dc7,d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae,0.900540652457476,f__Atopobiaceae,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,<not present>,#D0D0D0,118
00cd29ad3fd41851b4f7804631dd1f5b,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Solirubrobacter,0.99985242595767,g__Solirubrobacter,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,#D0D0D0,118
0136150ffab375d5100f0094589b6e1f,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae,0.963298782464962,f__Pseudonocardiaceae,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,<not present>,#D0D0D0,118
014e3bfa7c3d837fe741cd216b8637e3,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae,0.999092339088008,f__Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,76
016e64817806d73a9f07ec0f7a432509,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae,0.999734025994659,f__Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,76
0171c49f232c4b734f10100962c587bb,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium,0.993438667146514,g__Corynebacterium,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,#D0D0D0,118
01f801067c6d90ab4699f775ac0e094c,d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-005,0.987631995748678,g__UCG-005,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005,#BEA89A,76
022c0a36256fbac952f45e0eee0d37bf,d__Bacteria; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__uncultured; s__uncultured_Firmicutes,0.978064389618319,s__uncultured_Firmicutes,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmataceae,uncultured,#5875DE,55
02ab1247d00749e04a3dfbad8883a6af,d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae,0.998999810278602,f__Butyricicoccaceae,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,<not present>,#BEA89A,76
0386a5cc1aa849d1623bb6c1eff86cf6,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Microbacterium,0.999864977897625,g__Microbacterium,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,#D5D5D5,117
03a11369613f60ae989ec38644c7157e,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_hominis,0.829546452667861,s__Lactobacillus_hominis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,#5875DE,55
03d6c375e365fd327ef7f103f9bafedd,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae,0.999988651346252,f__Rhizobiaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,<not present>,#EE2C2C,97
03ef44083625f92f5a7bf06d0468a767,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus,0.997402909750536,g__Lactobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,#5875DE,55
042e30c9c874019936a5955775732a4f,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Kurthia,0.800405733653907,g__Kurthia,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia,#5875DE,55
04819b42bf727b5c7145d721aeddd0ac,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia,0.998758395847054,g__Massilia,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,#EE2C2C,97
04bbb7fdf22aec03f7b2e1359878d325,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides,0.999988236922865,g__Nocardioides,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,#D0D0D0,118
054360f4cf25cb9758d4d17252aff591,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus,0.999398326532877,g__Lactobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,#5875DE,55
05cc312c5989b436e43a6becebcf87be,d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Turicibacter,0.915195076892107,g__Turicibacter,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,#5875DE,55
